,Carrier,Dep Arpt,Arr Arpt,Gate Time,Dir,Slack,Gate Dep Dly,Gate Arr Dly,Carrier Delay
4,FFT,DEN,MSP,10:29,Out,-1,10,9,0
4,FFT,MSN,DEN,10:31,In,-2,0,0,0
4,FFT,DEN,MDT,10:36,Out,-1,1,10,0
4,FFT,DCA,DEN,10:37,In,-2,0,0,0
4,FFT,DEN,DTW,10:40,Out,-1,0,3,0
4,FFT,DEN,DSM,10:40,Out,0,7,3,0
4,FFT,DEN,CAK,10:41,Out,1,0,7,0
4,FFT,BNA,DEN,10:45,In,0,0,0,0
4,FFT,DEN,DAY,10:45,Out,1,0,0,0
4,FFT,DEN,STL,10:48,Out,2,8,15,8
4,FFT,DEN,MKE,10:49,Out,3,14,8,0
4,FFT,LAS,DEN,10:51,In,2,0,0,0
4,FFT,TPA,DEN,10:54,In,1,0,4,0
4,FFT,SEA,DEN,10:56,In,0,0,0,0
4,FFT,GRR,DEN,11:05,In,-1,10,15,10
4,FFT,ABQ,DEN,11:06,In,-2,0,0,0
4,FFT,LAX,DEN,11:09,In,-3,105,109,0
4,FFT,DEN,AUS,11:13,Out,-2,23,17,0
4,FFT,LGA,DEN,11:16,In,-3,0,8,0
4,FFT,DEN,BIS,11:18,Out,-2,24,22,0
4,FFT,MCO,DEN,11:30,In,-3,0,6,0
4,FFT,MCI,DEN,11:32,In,-4,105,94,94
4,FFT,DEN,MCO,11:36,Out,-3,56,71,14
4,FFT,DEN,IND,11:41,Out,-2,3,13,0
4,FFT,SLC,DEN,11:41,In,-3,0,1,0
4,FFT,DEN,DCA,11:42,Out,-2,0,22,0
4,FFT,DEN,SDF,11:43,Out,-1,13,3,0
4,FFT,MSP,DEN,11:49,In,-2,0,0,0
4,FFT,SFO,DEN,11:55,In,-3,0,0,0
4,FFT,SAN,DEN,12:01,In,-4,0,0,0
4,FFT,BZN,DEN,12:04,In,-5,7,0,0
4,FFT,MDW,DEN,12:07,In,-6,0,36,0
4,FFT,PHX,DEN,12:11,In,-7,0,0,0
4,FFT,DEN,PHF,12:14,Out,-6,54,53,3
4,FFT,BIL,DEN,12:17,In,-7,36,36,0
4,FFT,DEN,LGA,12:18,Out,-6,88,98,1
4,FFT,LAX,DEN,12:19,In,-7,0,0,0
4,FFT,IAH,DEN,12:19,In,-8,0,0,0
4,FFT,DEN,SEA,12:21,Out,-7,6,5,0
4,FFT,DFW,DEN,12:21,In,-8,54,54,1
4,FFT,DEN,MDW,12:29,Out,-7,39,34,0
4,FFT,LAS,DEN,12:29,In,-8,2,1,0
4,FFT,SEA,DEN,12:29,In,-9,0,0,0
4,FFT,PDX,DEN,12:36,In,-10,29,20,20
4,FFT,DEN,SLC,12:39,Out,-9,19,20,18
4,FFT,DEN,JAC,12:43,Out,-8,28,35,28
4,FFT,DEN,PDX,12:51,Out,-7,6,3,0
4,FFT,DEN,SFO,12:53,Out,-6,33,29,6
4,FFT,DEN,DFW,12:58,Out,-5,0,0,0
4,FFT,DEN,SMF,12:58,Out,-4,0,0,0
4,FFT,DEN,MSP,13:06,Out,-3,0,0,0
4,FFT,GEG,DEN,13:13,In,-4,0,0,0
4,FFT,DEN,ATL,13:14,Out,-3,0,0,0
4,FFT,DEN,MCI,13:14,Out,-2,0,0,0
4,FFT,DEN,BNA,13:15,Out,-1,120,114,84
4,FFT,DEN,SNA,13:15,Out,0,5,2,0
4,FFT,SNA,DEN,13:17,In,-1,4,2,0
4,FFT,DEN,SBA,13:17,Out,0,22,20,0
4,FFT,DEN,BIL,13:19,Out,1,9,12,0
4,FFT,DEN,BZN,13:22,Out,2,12,9,0
4,FFT,DEN,GEG,13:27,Out,3,63,63,26
4,FFT,DEN,SAN,13:32,Out,4,22,12,0
4,FFT,SAN,DEN,13:38,In,3,4,7,0
4,FFT,DEN,LAS,14:01,Out,4,4,0,0
4,FFT,DEN,PHX,14:04,Out,5,0,0,0
4,FFT,GTF,DEN,14:10,In,4,124,100,0
4,FFT,MDW,DEN,14:14,In,3,25,30,0
4,FFT,PDX,DEN,14:16,In,2,11,6,0
4,FFT,OMA,DEN,14:18,In,1,2,0,0
4,FFT,SEA,DEN,14:20,In,0,8,0,0
4,FFT,LAS,DEN,14:21,In,-1,22,11,0
4,FFT,DEN,LAX,14:23,Out,0,83,86,5
4,FFT,SFO,DEN,14:32,In,-1,32,30,0
4,FFT,LAX,DEN,14:45,In,-2,16,26,0
4,FFT,BLI,DEN,14:54,In,-3,34,29,2
4,FFT,DEN,IAH,15:00,Out,-2,0,0,0
4,FFT,DEN,DTW,15:04,Out,-1,89,78,0
4,FFT,MSP,DEN,15:05,In,-2,11,16,2
4,FFT,DSM,DEN,15:06,In,-3,8,40,0
4,FFT,DEN,SLC,15:06,Out,-2,6,6,0
4,FFT,DFW,DEN,15:08,In,-3,0,0,0
4,FFT,DEN,MDW,15:10,Out,-2,5,8,0
4,FFT,BIS,DEN,15:11,In,-3,30,36,0
4,FFT,DEN,PHL,15:15,Out,-2,0,0,0
4,FFT,DEN,LGA,15:19,Out,-1,9,0,0
4,FFT,DEN,CID,15:19,Out,0,9,0,0
4,FFT,DEN,OMA,15:23,Out,1,138,131,0
4,FFT,DEN,IND,15:24,Out,2,24,25,0
4,FFT,DEN,OKC,15:26,Out,3,16,14,0
4,FFT,DCA,DEN,15:33,In,2,4,18,0
4,FFT,DEN,MKE,15:33,Out,3,28,20,0
4,FFT,BBG,DEN,15:38,In,2,0,0,0
4,FFT,DEN,OMA,15:39,Out,3,14,11,0
4,FFT,DEN,AUS,15:41,Out,4,16,11,0
4,FFT,DEN,LIT,15:46,Out,5,36,27,0
4,FFT,DEN,MSP,15:48,Out,6,13,13,0
4,FFT,AUS,DEN,15:55,In,5,12,15,0
4,FFT,MKE,DEN,16:05,In,4,9,11,0
4,FFT,JAC,DEN,16:11,In,3,22,26,0
4,FFT,LGA,DEN,16:13,In,2,10,29,2
4,FFT,SLC,DEN,16:13,In,1,20,33,0
4,FFT,STL,DEN,16:32,In,0,23,61,11
4,FFT,DEN,DCA,16:34,Out,1,0,0,0
4,FFT,DEN,PHX,16:36,Out,2,1,6,0
4,FFT,DEN,LAX,16:37,Out,3,7,22,7
4,FFT,BIL,DEN,16:41,In,2,9,15,0
4,FFT,DEN,DFW,16:43,Out,3,48,39,0
4,FFT,DEN,STL,16:53,Out,4,88,83,0
4,FFT,DEN,PDX,16:57,Out,5,27,29,6
4,FFT,BZN,DEN,17:03,In,4,0,1,0
4,FFT,DEN,SFO,17:08,Out,5,33,32,10
4,FFT,DEN,LAS,17:09,Out,6,44,48,0
4,FFT,DTW,DEN,17:17,In,5,0,4,0
4,FFT,MCI,DEN,17:17,In,4,2,2,0
4,FFT,ATL,DEN,17:20,In,3,1,9,0
4,FFT,FLL,DEN,17:25,In,2,80,102,0
4,FFT,DAY,DEN,17:28,In,1,8,26,8
4,FFT,DFW,DEN,17:33,In,0,0,1,0
4,FFT,CAK,DEN,17:37,In,-1,10,15,3
4,FFT,STL,DEN,17:48,In,-2,2,8,0
4,FFT,MSP,DEN,17:51,In,-3,1,11,0
4,FFT,SDF,DEN,17:51,In,-4,1,29,0
4,FFT,MDW,DEN,17:53,In,-5,29,34,0
4,FFT,DEN,OMA,17:58,Out,-4,1,0,0
4,FFT,DEN,LGA,17:59,Out,-3,4,0,0
4,FFT,IND,DEN,18:01,In,-4,12,44,0
4,FFT,DEN,SEA,18:05,Out,-3,95,94,0
4,FFT,LAS,DEN,18:15,In,-4,0,0,0
4,FFT,DEN,SLC,18:16,Out,-3,11,11,0
4,FFT,DEN,SNA,18:16,Out,-2,11,5,0
4,FFT,SEA,DEN,18:18,In,-3,8,0,0
4,FFT,DEN,LAX,18:19,Out,-2,9,9,0
4,FFT,SNA,DEN,18:21,In,-3,1,6,0
4,FFT,DEN,SMF,18:22,Out,-2,2,0,0
4,FFT,DEN,DFW,18:23,Out,-1,23,12,0
4,FFT,PHX,DEN,18:27,In,-2,0,4,0
4,FFT,SMF,DEN,18:27,In,-3,0,2,0
4,FFT,DEN,PDX,18:28,Out,-2,13,7,0
4,FFT,SLC,DEN,18:29,In,-3,0,4,0
4,FFT,DEN,SEA,18:32,Out,-2,22,22,4
4,FFT,GEG,DEN,18:33,In,-3,61,66,0
4,FFT,DEN,MCO,18:35,Out,-2,115,118,4
4,FFT,PDX,DEN,18:37,In,-3,0,7,0
4,FFT,DEN,SFO,18:39,Out,-2,29,19,8
4,FFT,SAN,DEN,18:40,In,-3,15,20,4
4,FFT,DEN,ANC,18:42,Out,-2,32,34,9
4,FFT,MDT,DEN,18:43,In,-3,2,18,0
